id,observed_on,created_at,updated_at,oauth_application_id,place_guess,latitude,longitude,species_guess,scientific_name,common_name,iconic_taxon_name,nombre_asp,manejo,estatus,siglas_cat,nombre_ac,siglas_ac,descripcion_ac,area_asp,distancia_asp,rio,tipo_rio,area_rio,distancia_rio,conteo
631297,4/18/2014,19/04/2014 05:02:37,7/1/2021 21:09,10,"Autopista 32, Limón, Limón, CR",10.00599867,-83.18949974,Giant Toad,Rhinella horribilis,Giant Toad,Amphibia,Nacional Cariari,Humedal,Estatal,HH,Area de Conservacion Tortuguero,ACTo,Area terrestre protegida,77878.51994,5873.882405,Rio Blanco/Rio Victoria,Rio,0.178913909,0.047485325,1
631346,4/18/2014,19/04/2014 05:30:05,23/10/2018 23:17:06,10,"Autopista 32, Limón, Limón, CR",9.995233,-83.160979,Neotropical Grass Frogs,Leptodactylus,Neotropical Grass Frogs,Amphibia,Nacional Cariari,Humedal,Estatal,HH,Area de Conservacion Tortuguero,ACTo,Area terrestre protegida,77878.51994,4867.42422,Rio Blanco/Rio Victoria,Rio,0.178913909,0.021203349,1
631347,4/18/2014,19/04/2014 05:30:05,25/10/2015 05:07:54,10,"Autopista 32, Limón, Limón, CR",9.995124154,-83.15891493,Neotropical Grass Frogs,Leptodactylus,Neotropical Grass Frogs,Amphibia,Nacional Cariari,Humedal,Estatal,HH,Area de Conservacion Tortuguero,ACTo,Area terrestre protegida,77878.51994,4701.861295,Rio Blanco/Rio Victoria,Rio,0.178913909,0.019766022,1
631530,4/19/2014,19/04/2014 11:22:25,7/1/2021 21:09,10,"Autopista 32, Siquirres, Limón, CR",10.138759,-83.566439,Giant Toad,Rhinella horribilis,Giant Toad,Amphibia,Cuenca Rio Siquirres,Zona Protectora,Estatal,ZP,Area de Conservacion La Amistad Caribe,ACLAC,Area terrestre protegida,68985.7571,6243.568882,Rio Vueltas,Rio,0.133231098,0.002005322,1
631533,4/19/2014,19/04/2014 11:30:00,4/1/2021 4:51,10,"Autopista 32, Siquirres, Limón, CR",10.139385,-83.567165,True Toads,Bufonidae,True Toads,Amphibia,Cuenca Rio Siquirres,Zona Protectora,Estatal,ZP,Area de Conservacion La Amistad Caribe,ACLAC,Area terrestre protegida,68985.7571,6338.215121,Rio Vueltas,Rio,0.133231098,0.002932167,1
631535,4/19/2014,19/04/2014 11:30:27,27/11/2021 17:46:11,10,"Autopista 32, Siquirres, Limón, CR",10.13941937,-83.56703793,Frogs and Toads,Anura,Frogs and Toads,Amphibia,Cuenca Rio Siquirres,Zona Protectora,Estatal,ZP,Area de Conservacion La Amistad Caribe,ACLAC,Area terrestre protegida,68985.7571,6336.28983,Rio Vueltas,Rio,0.133231098,0.002888656,1
631537,4/19/2014,19/04/2014 11:37:36,23/10/2018 23:16:57,10,"Autopista 32, Siquirres, Limón, CR",10.14283,-83.571756,Leaf Litter Toad,Rhaebo haematiticus,Leaf Litter Toad,Amphibia,Cuenca Rio Siquirres,Zona Protectora,Estatal,ZP,Area de Conservacion La Amistad Caribe,ACLAC,Area terrestre protegida,68985.7571,6891.50624,Rio Germania,Rio,0.118775026,3.30E-05,1
631541,4/19/2014,19/04/2014 11:50:02,13/05/2015 02:31:00,10,"Autopista 32, Siquirres, Limón, CR",10.147473,-83.580059,Anura,Anura,Frogs and Toads,Amphibia,Cuenca Rio Siquirres,Zona Protectora,Estatal,ZP,Area de Conservacion La Amistad Caribe,ACLAC,Area terrestre protegida,68985.7571,7766.290283,Rio Germania,Rio,0.118775026,0.009150579,1
631547,4/19/2014,19/04/2014 12:04:20,25/10/2015 05:10:28,10,"Autopista 32, Siquirres, Limón, CR",10.154737,-83.593183,Neotropical Grass Frogs,Leptodactylus,Neotropical Grass Frogs,Amphibia,Cuenca Rio Siquirres,Zona Protectora,Estatal,ZP,Area de Conservacion La Amistad Caribe,ACLAC,Area terrestre protegida,68985.7571,9213.042167,Rio Destierro,Rio,0.287060804,0.010055502,1
631564,4/19/2014,19/04/2014 12:24:48,10/7/2020 13:00,10,"Autopista 32, Guácimo, Limón, CR",10.17346683,-83.61196962,Frogs and Toads,Anura,Frogs and Toads,Amphibia,Cordillera Volcanica Central,Reserva Forestal,Estatal,RF,Area de Conservacion Central,ACC,Area terrestre protegida,5863264.646,11661.11724,Rio Dos Novillos,Rio,0.264584081,0.002687729,1
631625,4/19/2014,19/04/2014 13:20:53,24/01/2021 23:12:17,10,"Autopista 32, Guácimo, Limón, CR",10.19584,-83.647105,Giant Toad,Rhinella horribilis,Giant Toad,Amphibia,Acuiferos Guacimo y Pococi,Zona Protectora,Estatal,ZP,Area de Conservacion Tortuguero,ACTo,Area terrestre protegida,426263.7032,8971.589246,Rio Parismina,Rio,0.212253441,0.000510095,1
631752,4/19/2014,19/04/2014 14:42:59,17/07/2017 22:22:52,10,"Autopista 32, Pococí, Limón, CR",10.203777,-83.764775,Western Cane Toad,Rhinella horribilis,Giant Toad,Amphibia,Acuiferos Guacimo y Pococi,Zona Protectora,Estatal,ZP,Area de Conservacion Tortuguero,ACTo,Area terrestre protegida,426263.7032,2463.794701,Rio Molino,Rio,0.117476743,0.001553232,1
631760,4/19/2014,19/04/2014 14:48:23,17/07/2017 22:22:53,10,"Pococí, CR-LI, CR",10.20335,-83.776207,Western Cane Toad,Rhinella horribilis,Giant Toad,Amphibia,Acuiferos Guacimo y Pococi,Zona Protectora,Estatal,ZP,Area de Conservacion Tortuguero,ACTo,Area terrestre protegida,426263.7032,3449.361322,Rio Santa Clara,Rio,0.092169268,0.002331319,1
631796,4/19/2014,19/04/2014 15:08:39,17/07/2017 22:22:53,10,"Autopista 32, Pococí, Limón, CR",10.204287,-83.820788,Western Cane Toad,Rhinella horribilis,Giant Toad,Amphibia,Acuiferos Guacimo y Pococi,Zona Protectora,Estatal,ZP,Area de Conservacion Tortuguero,ACTo,Area terrestre protegida,426263.7032,4273.152585,Rio Toro Amarillo,Rio,0.253876135,0.006383926,1
631805,4/19/2014,19/04/2014 15:21:37,7/10/2020 20:54,10,"Autopista 32, Pococí, Limón, CR",10.209527,-83.834336,Western Cane Toad,Rhinella horribilis,Giant Toad,Amphibia,Cordillera Volcanica Central,Reserva Forestal,Estatal,RF,Area de Conservacion Central,ACC,Area terrestre protegida,5863264.646,4781.393449,Rio Blanco,Rio,0.288165372,0.004376918,1
633065,4/19/2014,20/04/2014 03:39:24,23/10/2018 23:14:00,10,"Autopista 32, Pococí, Limón, CR",10.20531236,-83.74085781,Leaf Litter Toad,Rhaebo haematiticus,Leaf Litter Toad,Amphibia,Acuiferos Guacimo y Pococi,Zona Protectora,Estatal,ZP,Area de Conservacion Tortuguero,ACTo,Area terrestre protegida,426263.7032,223.3070484,Rio Jimenez,Rio,0.14858388,0.001196132,1
633122,4/19/2014,20/04/2014 04:55:17,7/1/2021 21:08,10,"Autopista 32, Siquirres, Limón, CR",10.141006,-83.568886,Giant Toad,Rhinella horribilis,Giant Toad,Amphibia,Cuenca Rio Siquirres,Zona Protectora,Estatal,ZP,Area de Conservacion La Amistad Caribe,ACLAC,Area terrestre protegida,68985.7571,6577.749653,Rio Germania,Rio,0.118775026,0.003433132,1
633129,4/19/2014,20/04/2014 05:10:38,7/10/2020 20:50,10,"Autopista 32, Siquirres, Limón, CR",10.12201079,-83.55335221,Neotropical Grass Frogs,Leptodactylus,Neotropical Grass Frogs,Amphibia,Cuenca Rio Siquirres,Zona Protectora,Estatal,ZP,Area de Conservacion La Amistad Caribe,ACLAC,Area terrestre protegida,68985.7571,4020.595114,Rio Peje,Rio,0.181029355,0.001777477,1
633137,4/19/2014,20/04/2014 05:31:01,7/3/2022 20:41,10,"Autopista 32, Siquirres, Limón, CR",10.10272675,-83.52653833,Savage's Thin-toed Frog,Leptodactylus savagei,Savage's Thin-toed Frog,Amphibia,Cuenca Rio Siquirres,Zona Protectora,Estatal,ZP,Area de Conservacion La Amistad Caribe,ACLAC,Area terrestre protegida,68985.7571,2574.320125,Rio Siquirres,Rio,0.110017173,0.005660147,1
633247,4/20/2014,20/04/2014 11:05:14,23/10/2018 23:13:46,10,"Autopista 32, Siquirres, Limón, CR",10.10106529,-83.453842,Central American Toads,Incilius,Central American Toads,Amphibia,Rio Pacuare,Reserva Forestal,Estatal,RF,Area de Conservacion La Amistad Caribe,ACLAC,Area terrestre protegida,1318934.532,2946.619048,Rio Pacuare,Rio,0.04265204,0.017846251,1
633251,4/20/2014,20/04/2014 11:18:35,20/04/2014 11:19:49,10,"Autopista 32, Siquirres, Limón, CR",10.08815984,-83.415372,Chaunus marinus,Chaunus marinus,Vertebrates,Amphibia,Rio Pacuare,Reserva Forestal,Estatal,RF,Area de Conservacion La Amistad Caribe,ACLAC,Area terrestre protegida,1318934.532,1864.032869,Rio Hondo,Rio,0.099873002,0.002435026,1
633260,4/20/2014,20/04/2014 11:39:56,19/02/2020 14:36:54,10,"Autopista 32, Matina, Limón, CR",10.07484431,-83.37713895,Erdbeerfröschchen,Oophaga pumilio,Strawberry Poison Dart Frog,Amphibia,Rio Pacuare,Reserva Forestal,Estatal,RF,Area de Conservacion La Amistad Caribe,ACLAC,Area terrestre protegida,1318934.532,2498.843691,Rio Barbilla,Rio,0.211013641,0.010960502,1
633265,4/20/2014,20/04/2014 11:50:02,7/1/2021 21:07,10,"Autopista 32, Matina, Limón, CR",10.066406,-83.365805,Giant Toad,Rhinella horribilis,Giant Toad,Amphibia,Rio Pacuare,Reserva Forestal,Estatal,RF,Area de Conservacion La Amistad Caribe,ACLAC,Area terrestre protegida,1318934.532,2149.857647,Rio Barbilla,Rio,0.211013641,0.000866901,1
634704,4/20/2014,21/04/2014 00:02:37,24/01/2021 23:01:35,10,"Autopista 32, Guácimo, Limón, CR",10.18922703,-83.63577356,Giant Toad,Rhinella horribilis,Giant Toad,Amphibia,Acuiferos Guacimo y Pococi,Zona Protectora,Estatal,ZP,Area de Conservacion Tortuguero,ACTo,Area terrestre protegida,426263.7032,10214.21954,Rio Parismina,Rio,0.212253441,0.012080358,1
634748,4/20/2014,21/04/2014 00:16:34,23/01/2020 00:46:27,10,"Autopista 32, Guácimo, Limón, CR",10.19970525,-83.6694295,Leaf Litter Toad,Rhaebo haematiticus,Leaf Litter Toad,Amphibia,Acuiferos Guacimo y Pococi,Zona Protectora,Estatal,ZP,Area de Conservacion Tortuguero,ACTo,Area terrestre protegida,426263.7032,6525.024519,Rio Guacimito,Rio,0.091344488,0.011719595,1
634774,4/20/2014,21/04/2014 00:29:04,13/03/2019 01:10:55,10,"Autopista 32, Guácimo, Limón, CR",10.208852,-83.693184,Cecilido sp,Gymnophiona,Caecilians,Amphibia,Acuiferos Guacimo y Pococi,Zona Protectora,Estatal,ZP,Area de Conservacion Tortuguero,ACTo,Area terrestre protegida,426263.7032,3957.176235,Rio Guacimo,Rio,0.168397599,0.002368676,1
634995,4/20/2014,21/04/2014 01:26:33,17/07/2017 22:22:53,10,"Autopista 32, Pococí, Limón, CR",10.203681,-83.768253,Western Cane Toad,Rhinella horribilis,Giant Toad,Amphibia,Acuiferos Guacimo y Pococi,Zona Protectora,Estatal,ZP,Area de Conservacion Tortuguero,ACTo,Area terrestre protegida,426263.7032,2818.057565,Rio Molino,Rio,0.117476743,0.004940397,1
634996,4/20/2014,21/04/2014 01:26:33,23/10/2018 23:12:44,10,"Pococí, CR-LI, CR",10.20371167,-83.768425,Neotropical Grass Frogs,Leptodactylus,Neotropical Grass Frogs,Amphibia,Acuiferos Guacimo y Pococi,Zona Protectora,Estatal,ZP,Area de Conservacion Tortuguero,ACTo,Area terrestre protegida,426263.7032,2837.001337,Rio Molino,Rio,0.117476743,0.00511511,1
664519,5/6/2014,7/5/2014 0:26,24/10/2018 21:18:00,10,"Autopista 32, Pococí, Limón, CR",10.21294144,-83.88030544,Giant Toad,Rhinella horribilis,Giant Toad,Amphibia,Cordillera Volcanica Central,Reserva Forestal,Estatal,RF,Area de Conservacion Central,ACC,Area terrestre protegida,5863264.646,1749.13765,Rio Corinto,Rio,0.242095355,0.003905759,1
664659,5/6/2014,7/5/2014 1:31,13/05/2015 03:07:48,10,,10.20232,-83.798027,Smilisca sp,Smilisca,Smilisca Tree Frogs,Amphibia,Acuiferos Guacimo y Pococi,Zona Protectora,Estatal,ZP,Area de Conservacion Tortuguero,ACTo,Area terrestre protegida,426263.7032,2846.016098,Rio Guapiles,Rio,0.252767625,0.010312251,1
665462,5/7/2014,7/5/2014 12:47,17/07/2017 22:08:24,10,"Autopista 32, Matina, Limón, CR",10.0455952,-83.34770607,Western Cane Toad,Rhinella horribilis,Giant Toad,Amphibia,Rio Pacuare,Reserva Forestal,Estatal,RF,Area de Conservacion La Amistad Caribe,ACLAC,Area terrestre protegida,1318934.532,2429.51777,Rio Barbilla,Rio,0.211013641,0.006004234,1
665463,5/7/2014,7/5/2014 12:50,24/10/2018 22:08:41,10,"Autopista 32, Matina, Limón, CR",10.045743,-83.351489,Giant Toad,Rhinella horribilis,Giant Toad,Amphibia,Rio Pacuare,Reserva Forestal,Estatal,RF,Area de Conservacion La Amistad Caribe,ACLAC,Area terrestre protegida,1318934.532,2015.831313,Rio Barbilla,Rio,0.211013641,0.007940545,1
665466,5/7/2014,7/5/2014 13:10,17/07/2017 22:08:24,10,"Autopista 32, Matina, Limón, CR",10.074314,-83.381783,Western Cane Toad,Rhinella horribilis,Giant Toad,Amphibia,Rio Pacuare,Reserva Forestal,Estatal,RF,Area de Conservacion La Amistad Caribe,ACLAC,Area terrestre protegida,1318934.532,2041.303939,Rio Barbilla,Rio,0.211013641,0.014422685,1
665468,5/7/2014,7/5/2014 13:15,17/07/2017 22:08:25,10,"Autopista 32, Matina, Limón, CR",10.07715662,-83.39920423,Western Cane Toad,Rhinella horribilis,Giant Toad,Amphibia,Rio Pacuare,Reserva Forestal,Estatal,RF,Area de Conservacion La Amistad Caribe,ACLAC,Area terrestre protegida,1318934.532,1459.604417,Rio Madre De Dios,Rio,0.30054593,0.006403264,1
666674,5/7/2014,8/5/2014 1:55,24/10/2018 22:08:20,10,"Autopista 32, Siquirres, Limón, CR",10.111607,-83.53735,Giant Toad,Rhinella horribilis,Giant Toad,Amphibia,Cuenca Rio Siquirres,Zona Protectora,Estatal,ZP,Area de Conservacion La Amistad Caribe,ACLAC,Area terrestre protegida,68985.7571,2820.012226,Rio Reventazon,Rio,0.234298377,0.007659018,1
666820,5/7/2014,8/5/2014 2:42,27/11/2021 17:51:44,10,"Autopista 32, Matina, Limón, CR",10.07744274,-83.40174839,Frogs and Toads,Anura,Frogs and Toads,Amphibia,Rio Pacuare,Reserva Forestal,Estatal,RF,Area de Conservacion La Amistad Caribe,ACLAC,Area terrestre protegida,1318934.532,1382.187217,Rio Madre De Dios,Rio,0.30054593,0.004632747,1
666828,5/7/2014,8/5/2014 2:47,27/11/2021 17:51:51,10,"Autopista 32, Matina, Limón, CR",10.07569143,-83.39013199,Frogs and Toads,Anura,Frogs and Toads,Amphibia,Rio Pacuare,Reserva Forestal,Estatal,RF,Area de Conservacion La Amistad Caribe,ACLAC,Area terrestre protegida,1318934.532,1545.883445,Rio Madre De Dios,Rio,0.30054593,0.014316674,1
667128,5/7/2014,8/5/2014 10:59,24/10/2018 21:56:10,10,"Limón, CR-LI, CR",9.994428,-83.153584,Giant Toad,Rhinella horribilis,Giant Toad,Amphibia,Nacional Cariari,Humedal,Estatal,HH,Area de Conservacion Tortuguero,ACTo,Area terrestre protegida,77878.51994,4326.708331,Rio Blanco/Rio Victoria,Rio,0.178913909,0.016090965,1
667144,5/8/2014,8/5/2014 11:27,27/05/2019 21:39:38,10,"Autopista 32, Guácimo, Limón, CR",10.17636056,-83.61634607,Sapo gigante,Rhinella horribilis,Giant Toad,Amphibia,Cordillera Volcanica Central,Reserva Forestal,Estatal,RF,Area de Conservacion Central,ACC,Area terrestre protegida,5863264.646,11708.06772,Rio Dos Novillos,Rio,0.264584081,0.007629005,1
667157,5/8/2014,8/5/2014 11:57,24/10/2018 21:56:13,10,"Autopista 32, Guácimo, Limón, CR",10.19747167,-83.656425,Red-eyed Treefrog,Agalychnis callidryas,Red-eyed Tree Frog,Amphibia,Acuiferos Guacimo y Pococi,Zona Protectora,Estatal,ZP,Area de Conservacion Tortuguero,ACTo,Area terrestre protegida,426263.7032,7950.190242,Rio Parismina,Rio,0.212253441,0.007084025,1
667163,5/8/2014,8/5/2014 12:09,24/10/2018 21:56:16,10,"Autopista 32, Guácimo, Limón, CR",10.2050208,-83.68280064,Giant Toad,Rhinella horribilis,Giant Toad,Amphibia,Acuiferos Guacimo y Pococi,Zona Protectora,Estatal,ZP,Area de Conservacion Tortuguero,ACTo,Area terrestre protegida,426263.7032,5060.4634,Rio Guacimo,Rio,0.168397599,0.001514729,1
667164,5/8/2014,8/5/2014 12:13,24/10/2018 21:56:17,10,"Autopista 32, Guácimo, Limón, CR",10.20889131,-83.69427388,Giant Toad,Rhinella horribilis,Giant Toad,Amphibia,Acuiferos Guacimo y Pococi,Zona Protectora,Estatal,ZP,Area de Conservacion Tortuguero,ACTo,Area terrestre protegida,426263.7032,3839.47155,Rio Guacimo,Rio,0.168397599,0.002294367,1
667184,5/8/2014,8/5/2014 12:31,24/10/2018 22:06:31,10,"Autopista 32, Pococí, Limón, CR",10.20560397,-83.73242637,Giant Toad,Rhinella horribilis,Giant Toad,Amphibia,Acuiferos Guacimo y Pococi,Zona Protectora,Estatal,ZP,Area de Conservacion Tortuguero,ACTo,Area terrestre protegida,426263.7032,168.8657283,Rio Jimenez,Rio,0.14858388,0.007132567,1
670090,5/9/2014,10/5/2014 3:09,24/10/2018 21:59:16,2,"San Carlos, CR-AL, CR",10.4920404,-84.643935,Central American Toads,Incilius,Central American Toads,Amphibia,Arenal,Parque Nacional,Estatal,PN,Area de Conservacion Arenal Huetar Norte,ACAHN,Area terrestre protegida,1194529.52,4954.82798,Quebrada Platanillo,Quebrada,0.069617808,0.006262349,1
670092,5/9/2014,10/5/2014 3:09,13/05/2015 02:30:08,2,,10.4891724,-84.6821233,Lithobates taylori,Lithobates taylori,Peralta Frog,Amphibia,Arenal,Parque Nacional,Estatal,PN,Area de Conservacion Arenal Huetar Norte,ACAHN,Area terrestre protegida,1194529.52,1538.173685,Quebrada Guillermina,Quebrada,0.049964577,7.38E-05,1
670094,5/9/2014,10/5/2014 3:10,13/05/2015 02:30:08,2,,10.5007681,-84.6931482,Lithobates taylori,Lithobates taylori,Peralta Frog,Amphibia,Arenal,Parque Nacional,Estatal,PN,Area de Conservacion Arenal Huetar Norte,ACAHN,Area terrestre protegida,1194529.52,1495.928912,Rio Arenal,Rio,0.139849786,0.006372104,1
670095,5/9/2014,10/5/2014 3:10,24/10/2018 21:58:25,2,"San Carlos, CR-AL, CR",10.5007681,-84.6931482,Smilisca,Smilisca,Smilisca Tree Frogs,Amphibia,Arenal,Parque Nacional,Estatal,PN,Area de Conservacion Arenal Huetar Norte,ACAHN,Area terrestre protegida,1194529.52,1495.928912,Rio Arenal,Rio,0.139849786,0.006372104,1
670096,5/9/2014,10/5/2014 3:10,24/10/2018 21:57:57,2,"San Carlos, CR-AL, CR",10.5013498,-84.6944554,Smilisca,Smilisca,Smilisca Tree Frogs,Amphibia,Arenal,Parque Nacional,Estatal,PN,Area de Conservacion Arenal Huetar Norte,ACAHN,Area terrestre protegida,1194529.52,1428.371616,Rio Arenal,Rio,0.139849786,0.005890995,1
670150,5/9/2014,10/5/2014 3:38,25/10/2018 02:53:12,2,"San Carlos, CR-AL, CR",10.4932315,-84.686234,Tree Frogs and Allies,Hylidae,Tree Frogs and Allies,Amphibia,Arenal,Parque Nacional,Estatal,PN,Area de Conservacion Arenal Huetar Norte,ACAHN,Area terrestre protegida,1194529.52,1534.338194,Quebrada Guillermina,Quebrada,0.049964577,0.005432495,1
670152,5/9/2014,10/5/2014 3:38,24/10/2018 21:56:29,2,"San Carlos, CR-AL, CR",10.5012044,-84.6941286,Giant Toad,Rhinella horribilis,Giant Toad,Amphibia,Arenal,Parque Nacional,Estatal,PN,Area de Conservacion Arenal Huetar Norte,ACAHN,Area terrestre protegida,1194529.52,1445.262654,Rio Arenal,Rio,0.139849786,0.006011247,1
670153,5/9/2014,10/5/2014 3:38,5/4/2018 15:55,2,"San Carlos, CR-AL, CR",10.5007681,-84.6931482,Giant Toad,Rhinella horribilis,Giant Toad,Amphibia,Arenal,Parque Nacional,Estatal,PN,Area de Conservacion Arenal Huetar Norte,ACAHN,Area terrestre protegida,1194529.52,1495.928912,Rio Arenal,Rio,0.139849786,0.006372104,1
670229,5/9/2014,10/5/2014 5:31,13/05/2015 02:30:06,2,,10.5013498,-84.6944554,Smilisca,Smilisca,Smilisca Tree Frogs,Amphibia,Arenal,Parque Nacional,Estatal,PN,Area de Conservacion Arenal Huetar Norte,ACAHN,Area terrestre protegida,1194529.52,1428.371616,Rio Arenal,Rio,0.139849786,0.005890995,1
670230,5/9/2014,10/5/2014 5:31,25/10/2018 02:52:08,2,"San Carlos, CR-AL, CR",10.496509,-84.7114572,Peralta Frog,Lithobates taylori,Peralta Frog,Amphibia,Zona de Emergencia Volcan Arenal,Reserva Forestal,Estatal,RF,Area de Conservacion Arenal Huetar Norte,ACAHN,Area terrestre protegida,22330.18185,0,Rio Arenal,Rio,0.139849786,0.008652952,1
670233,5/9/2014,10/5/2014 5:31,13/05/2015 02:30:05,2,,10.496509,-84.7114572,Lithobates taylori,Lithobates taylori,Peralta Frog,Amphibia,Zona de Emergencia Volcan Arenal,Reserva Forestal,Estatal,RF,Area de Conservacion Arenal Huetar Norte,ACAHN,Area terrestre protegida,22330.18185,0,Rio Arenal,Rio,0.139849786,0.008652952,1
670234,5/9/2014,10/5/2014 5:31,13/05/2015 02:30:05,2,,10.496509,-84.7114572,Lithobates taylori,Lithobates taylori,Peralta Frog,Amphibia,Zona de Emergencia Volcan Arenal,Reserva Forestal,Estatal,RF,Area de Conservacion Arenal Huetar Norte,ACAHN,Area terrestre protegida,22330.18185,0,Rio Arenal,Rio,0.139849786,0.008652952,1
670235,5/9/2014,10/5/2014 5:31,25/10/2018 02:51:40,2,"San Carlos, CR-AL, CR",10.496509,-84.7114572,Smilisca,Smilisca,Smilisca Tree Frogs,Amphibia,Zona de Emergencia Volcan Arenal,Reserva Forestal,Estatal,RF,Area de Conservacion Arenal Huetar Norte,ACAHN,Area terrestre protegida,22330.18185,0,Rio Arenal,Rio,0.139849786,0.008652952,1
